Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
H3K27_A_R1	0.18804236072514965	0.06791934427817474	-0.07057310532128964	0.20263166997771725	-0.24087391162253913	0.29198850699571205	0.0831252194705994	-0.026581270464129343	0.10793654552622305	0.19840958248897872	-0.03997199666863118	-0.024994795617733663	-0.035582832859912025	-0.04742514712224239	-0.1880628612399622	0.5592591118949799	-0.42348336066118175	-0.13204428273297028	0.07515678426240877	-0.11054107448582029	-0.18667153948525722	-0.29152414122816434	-0.09313613025932109	0.03166251822717733	-0.0467802321479522	-0.06624897080202133	0.05261761369841381	-0.03365858152972732	-0.04492319836043555	0.022831119626703585	0.0006989502098267847	0.03209841965123964
H3K27_A_R2	0.18735990554671436	0.07954760799825207	-0.00032343775524492784	0.1942227323947151	-0.18926006738819073	-0.4306962860487902	-0.10009146087452354	0.0939358781316925	0.027945869057091236	-0.2843517253695058	0.16716403277875566	-0.05851238354227507	-0.4043941233434143	-0.13394229947588981	-0.2731210364343162	0.13089843604535506	-0.03760825641877453	0.23519361330153926	0.11046187154114387	-0.06087249508035619	0.2077984174349643	0.06154930557645969	-0.16395107020184918	-0.24600284993896038	0.136803039910298	0.1425489642506104	-0.19556044036945602	-0.0197813733259141	0.044912152744449915	0.04728753668478934	0.07448861925489099	-0.0003579181919584009
H3K27_A_R3	0.18946588732132105	-0.007938976318077827	-0.03875418035794925	0.3015895060619786	-0.28701634311823415	0.006204476827566774	-0.00034614347415798906	-0.12334923299995998	0.2510924139203347	-0.15230441302909434	-0.256337813387758	0.21121740412075307	-0.11176035543184902	0.14100341206357128	0.38228301746123305	-0.14832719598359598	-0.12091688532926181	-0.08227284193605691	0.17915267576242794	0.5303771954026621	0.07771823227018437	0.0007025685035066678	0.16338132990606552	-0.03339557586001731	-0.03011528774256356	0.06465435759184801	0.03925397165494487	0.024772497620737806	0.024645064560913227	-0.00021143837409289015	0.006614916204202504	-0.018505337750751322
H3K27_A_R4	0.18935416459332324	0.03862923256112331	-0.03609282651221678	0.2149255446673423	-0.16987594347852533	0.2527913909076913	-0.11825248740514441	-0.19349032376848155	0.07234129837693529	-0.0676696101890461	0.3312523391891504	-0.07168218460511792	-0.13698140486917357	0.47300791127351816	-0.23644872668582784	-0.10918972687349326	0.4415832936056837	-0.14094130845133454	-0.2412783515313879	-0.00047165858002293286	-0.23377588111056993	0.024941477740942745	-0.042463039320995905	0.004908428852963685	-0.05317232693523606	-0.01897242709147623	-0.04070333895038042	0.012184377100141934	-0.02377487014883692	0.007910604629837517	0.0030754864605900545	0.012571053581271396
H3K27_N_R1	0.16577020481567764	0.2391498957354601	-0.12224052587604015	0.17529683755663214	0.1829765717236055	-0.17401769200717573	0.0706894431861188	0.129928712762394	0.07476727257428332	0.04932687323099126	0.23560905113651456	-0.16860716008356222	0.10951787799391381	0.04491923859759999	0.22036038805687128	-0.019569888642348182	0.13844286809634815	-0.4203178737638464	0.17042192148011562	-0.1204878142919103	0.4535699173744779	-0.24977183413844775	-0.2251008495693808	0.14252239642521036	-0.10783474392807865	-0.06363857946120612	0.1444435343012437	0.07890348607909882	0.0496991537135262	-0.06593977493701969	-0.02933560269488803	-0.012737088101040546
H3K27_N_R2	0.1776748156821673	0.16082650376370367	-0.1732100580331661	0.40791450817085034	0.02561893792064181	0.12682766106359625	0.23267077059301514	0.2016372236111043	-0.07073140311261994	-0.12346169145673468	-0.23479904635111645	0.10404684520618697	0.07960463328462687	-0.14859669057847655	0.005818428552101181	-0.3123527595103588	-0.07362398469475197	-0.10372823690474244	0.018267459845658408	-0.423535410001678	-0.20453077171125675	0.4167597082497789	-0.04538181368195538	-0.0072906459206542856	0.07542462529671823	-0.029679921652860475	-0.015651376018679636	-0.017499921905685507	-0.0341497937060811	0.0002626003994087411	-0.01488613138605593	-0.01945904952621911
H3K27_N_R3	0.16357235909673193	0.24841658940216557	-0.1331571567462616	0.19027671955231132	0.17354310958993166	-0.1004340122762008	0.03538532611971629	0.1818905352892337	-0.2428102649055273	0.06122982436324478	0.19737283211347295	-0.008655619620171856	0.36395101362154414	-0.2007138741238703	-0.06357744585126851	0.2683155286941409	0.20013076331292204	0.132935035441545	0.024405300170109768	0.5291212896103563	-0.25256933828180494	0.13669678345305367	0.05489838825585815	0.0074290124990257994	0.007599532140511755	0.008625151547931498	-0.03564190458776974	-0.0662508807491866	0.009042042656338985	-0.02969960708729746	-0.023496227710862613	-0.03735333119152754
H3K27_N_R4	0.17602914764056626	0.1832742116795474	-0.11845161188483794	0.21662408739217845	0.14548642096077138	-0.0007706355500168687	0.2164078084699217	-0.14768588712964187	-0.12752591291474857	0.18887445744628165	-0.12035586049164809	0.06533668353118874	-0.004623376883058459	0.10995165015095748	-0.0668342614013645	-0.1784169110765746	-0.024899619147114832	0.5091091937233644	-0.3003513791439416	-0.0694500386220494	0.24107165185596838	-0.413233866032139	0.24350226416684237	0.07594458077613504	0.10150603617820793	-0.04375692627868542	-0.009270002906730967	0.024955991241449985	0.02550335872870489	0.042650165417060466	0.03130525726694445	0.019867147433461955
H3K4_A_R1	0.1838143179060317	0.11609617593800287	0.23722996572773558	-0.10538235758734932	-0.23677554426468014	0.06593594470281937	-0.1475673490427602	0.1331400792074787	-0.27035081789745613	0.15684748608468738	0.522266172695764	0.05244746711702705	0.09600413516368614	0.06425899955059379	0.06805104108141347	-0.3534942923929293	-0.4939827865119491	0.0032658397189187214	0.02066184295516956	0.01901465735099197	0.0400352835277749	0.07271722457053612	0.11377798749608051	0.013946411022496639	-0.0027191969439254674	0.007766857190247786	-0.005350232493882089	-0.05011407535490146	-0.019704701375517483	0.03268964238792869	-0.016422012730169935	0.010783784969624196
H3K4_A_R2	0.18840039630650354	0.04862528658435807	0.22517204297101087	-0.10463661929296668	-0.28775949387154237	-0.06901493694026228	0.059177822217483605	-0.05159824252415672	0.2732267281631262	0.08205342934366962	-0.1498459230737705	-0.22119285217104673	0.2285109424947911	-0.48449477986407946	-0.2774582383035534	-0.30901398788337514	0.11221521572526705	-0.18910010423223575	-0.27131462251083893	0.12434896794287395	-0.0178482014246478	-0.16578613593548855	-0.027106955240040753	-0.11509467266078552	-0.00412457833383713	0.0014720555622459866	0.05157703889496928	0.04691249035376433	0.05977891306256457	-0.035758058492808255	0.07467071666325963	-0.006868694326220035
