Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
H3K27_A_R1	96.0	131.0	166.0	236.0	306.0	412.0	518.0	743.5	969.0	1425.5	1882.0	2817.0	3752.0	5690.0	7628.0	10771.5	13915.0	19035.0	24155.0	32523.5	40892.0	53569.5	66247.0	84499.0	102751.0	127808.5	152866.0	187251.5	221637.0	269159.0	316681.0	373951.0	431221.0	496401.0	561581.0	625466.5	689352.0	727549.0	765746.0	793154.5	820563.0	839968.0	859373.0	883771.0	908169.0	926330.0	944491.0	948907.5	953324.0	939452.0	925580.0	881860.5	838141.0	780405.0	722669.0	653561.0	584453.0	516466.0	448479.0	386838.0	325197.0	274551.0	223905.0	186277.5	148650.0	121731.5	94813.0	76941.5	59070.0	48362.5	37655.0	31277.0	24899.0	21292.5	17686.0	15484.5	13283.0	11621.5	9960.0	8813.0	7666.0	6664.5	5663.0	4921.5	4180.0	3503.0	2826.0	2390.0	1954.0	1683.5	1413.0	1235.5	1058.0	1012.0	966.0	1103.5	1241.0	2872.0	4503.0	48607.0	92711.0
H3K27_A_R2	45.0	78.5	112.0	161.5	211.0	283.0	355.0	562.0	769.0	1177.5	1586.0	2325.5	3065.0	4535.5	6006.0	8526.5	11047.0	15336.5	19626.0	26424.5	33223.0	43652.0	54081.0	69157.5	84234.0	106758.5	129283.0	160969.0	192655.0	239507.5	286360.0	342813.5	399267.0	468942.0	538617.0	607887.0	677157.0	724705.5	772254.0	809943.0	847632.0	881441.0	915250.0	956050.5	996851.0	1032764.5	1068678.0	1089441.0	1110204.0	1111574.0	1112944.0	1076040.5	1039137.0	1024130.0	1009123.0	905156.5	801190.0	699766.0	598342.0	517642.0	436942.0	370893.0	304844.0	254396.5	203949.0	169640.5	135332.0	109333.5	83335.0	68522.5	53710.0	44573.0	35436.0	30395.5	25355.0	21908.0	18461.0	16198.0	13935.0	12131.5	10328.0	8750.0	7172.0	6074.5	4977.0	4103.0	3229.0	2551.5	1874.0	1377.0	880.0	643.5	407.0	292.5	178.0	152.0	126.0	81.5	37.0	20.5	4.0
H3K27_A_R3	100.0	125.0	150.0	241.5	333.0	412.0	491.0	735.0	979.0	1395.0	1811.0	2640.5	3470.0	5162.0	6854.0	9517.5	12181.0	16886.5	21592.0	29161.5	36731.0	47645.0	58559.0	74746.5	90934.0	113735.0	136536.0	167798.5	199061.0	242270.0	285479.0	337929.5	390380.0	451075.0	511770.0	571921.5	632073.0	671706.0	711339.0	742977.5	774616.0	800764.0	826912.0	856592.5	886273.0	909023.5	931774.0	940417.0	949060.0	940627.0	932194.0	890145.5	848097.0	792047.5	735998.0	667238.5	598479.0	529488.5	460498.0	397935.5	335373.0	283704.0	232035.0	192402.5	152770.0	125351.0	97932.0	79121.5	60311.0	49653.5	38996.0	32457.5	25919.0	22108.0	18297.0	15971.0	13645.0	11894.5	10144.0	8979.5	7815.0	6754.0	5693.0	4985.5	4278.0	3698.5	3119.0	2678.5	2238.0	1937.0	1636.0	1459.5	1283.0	1306.0	1329.0	1627.0	1925.0	5309.5	8694.0	111470.5	214247.0
H3K27_A_R4	32.0	52.5	73.0	139.5	206.0	308.5	411.0	598.0	785.0	1237.5	1690.0	2536.0	3382.0	5023.5	6665.0	9248.0	11831.0	16373.0	20915.0	28320.5	35726.0	46512.5	57299.0	72465.0	87631.0	108817.5	130004.0	159567.5	189131.0	229216.5	269302.0	316938.5	364575.0	419044.5	473514.0	527208.5	580903.0	612827.5	644752.0	665689.5	686627.0	704261.5	721896.0	743142.0	764388.0	780895.0	797402.0	800320.5	803239.0	794391.0	785543.0	754572.5	723602.0	739212.0	754822.0	663224.5	571627.0	485889.0	400151.0	342256.5	284362.0	239795.5	195229.0	162358.0	129487.0	105775.0	82063.0	66217.0	50371.0	41314.5	32258.0	26587.5	20917.0	17640.5	14364.0	12514.5	10665.0	9271.0	7877.0	6797.0	5717.0	4873.0	4029.0	3380.5	2732.0	2272.0	1812.0	1423.5	1035.0	785.0	535.0	393.5	252.0	186.5	121.0	139.0	157.0	101.0	45.0	27.0	9.0
H3K27_N_R1	40.0	60.0	80.0	127.0	174.0	252.5	331.0	519.0	707.0	1099.0	1491.0	2280.5	3070.0	4611.5	6153.0	8813.5	11474.0	15865.0	20256.0	27269.5	34283.0	45065.0	55847.0	71686.5	87526.0	109601.5	131677.0	162656.5	193636.0	236579.0	279522.0	333102.5	386683.0	449766.0	512849.0	579412.5	645976.0	692710.0	739444.0	773750.5	808057.0	840961.0	873865.0	911918.0	949971.0	984799.5	1019628.0	1039115.5	1058603.0	1054601.0	1050599.0	1019246.5	987894.0	1002735.5	1017577.0	904228.0	790879.0	684334.0	577789.0	499333.0	420877.0	357737.5	294598.0	246209.0	197820.0	162532.5	127245.0	103761.0	80277.0	66818.0	53359.0	44408.5	35458.0	30295.0	25132.0	21903.0	18674.0	16493.0	14312.0	12370.0	10428.0	8981.0	7534.0	6302.5	5071.0	4113.5	3156.0	2512.0	1868.0	1404.0	940.0	706.0	472.0	320.0	168.0	156.5	145.0	92.0	39.0	22.0	5.0
H3K27_N_R2	109.0	123.5	138.0	200.0	262.0	388.5	515.0	734.5	954.0	1391.0	1828.0	2743.0	3658.0	5372.5	7087.0	10221.0	13355.0	18467.5	23580.0	32021.0	40462.0	53343.0	66224.0	84495.5	102767.0	128703.0	154639.0	190857.0	227075.0	274579.5	322084.0	381523.0	440962.0	511322.0	581682.0	653899.0	726116.0	780297.0	834478.0	877751.5	921025.0	958435.0	995845.0	1037654.5	1079464.0	1113973.0	1148482.0	1161820.0	1175158.0	1166454.5	1157751.0	1109711.5	1061672.0	992742.0	923812.0	839402.5	754993.0	669645.5	584298.0	505201.0	426104.0	360370.0	294636.0	245158.5	195681.0	160721.0	125761.0	102197.0	78633.0	65172.0	51711.0	43340.5	34970.0	30143.5	25317.0	22047.5	18778.0	16418.0	14058.0	12397.5	10737.0	9314.0	7891.0	6823.0	5755.0	4850.0	3945.0	3359.5	2774.0	2430.0	2086.0	1850.5	1615.0	1638.5	1662.0	2078.0	2494.0	5627.0	8760.0	89792.5	170825.0
H3K27_N_R3	91.0	124.0	157.0	203.5	250.0	351.0	452.0	613.0	774.0	1178.0	1582.0	2275.5	2969.0	4294.0	5619.0	8214.5	10810.0	15039.0	19268.0	25831.0	32394.0	42634.0	52874.0	67898.5	82923.0	104006.5	125090.0	154484.0	183878.0	224888.0	265898.0	315643.0	365388.0	427056.0	488724.0	551393.0	614062.0	658364.5	702667.0	737512.5	772358.0	802241.5	832125.0	870304.5	908484.0	942442.0	976400.0	995157.0	1013914.0	1013844.0	1013774.0	978671.0	943568.0	890664.5	837761.0	769050.0	700339.0	625541.5	550744.0	480677.0	410610.0	349511.5	288413.0	242454.5	196496.0	161937.5	127379.0	104447.0	81515.0	68064.0	54613.0	45809.5	37006.0	31891.5	26777.0	23426.0	20075.0	17565.5	15056.0	13431.0	11806.0	10340.0	8874.0	7792.0	6710.0	5663.0	4616.0	4051.0	3486.0	3087.5	2689.0	2568.0	2447.0	2624.0	2801.0	3853.5	4906.0	12048.0	19190.0	188458.5	357727.0
H3K27_N_R4	75.0	110.0	145.0	203.5	262.0	353.0	444.0	627.0	810.0	1208.5	1607.0	2393.0	3179.0	4645.5	6112.0	8864.0	11616.0	16230.0	20844.0	27840.0	34836.0	45553.5	56271.0	72267.5	88264.0	110256.0	132248.0	163282.5	194317.0	237653.0	280989.0	334663.5	388338.0	451513.0	514688.0	580102.0	645516.0	686160.0	726804.0	756471.0	786138.0	810446.5	834755.0	864325.5	893896.0	921743.5	949591.0	958716.0	967841.0	962253.5	956666.0	917998.5	879331.0	823867.0	768403.0	698483.5	628564.0	559544.0	490524.0	424957.0	359390.0	305858.5	252327.0	210738.0	169149.0	139263.5	109378.0	89257.5	69137.0	57557.0	45977.0	38659.5	31342.0	26957.0	22572.0	19805.5	17039.0	15016.5	12994.0	11405.0	9816.0	8553.5	7291.0	6421.5	5552.0	4676.0	3800.0	3226.0	2652.0	2218.0	1784.0	1596.0	1408.0	1384.5	1361.0	1680.5	2000.0	5555.5	9111.0	109732.0	210353.0
H3K4_A_R1	95.0	136.0	177.0	237.5	298.0	362.0	426.0	604.0	782.0	1114.0	1446.0	2084.5	2723.0	3831.0	4939.0	7101.0	9263.0	12617.5	15972.0	21381.5	26791.0	34656.5	42522.0	54111.5	65701.0	82608.0	99515.0	123900.5	148286.0	184205.5	220125.0	262954.0	305783.0	356480.5	407178.0	456976.5	506775.0	530699.5	554624.0	569143.0	583662.0	592486.0	601310.0	618238.0	635166.0	653403.0	671640.0	681505.0	691370.0	692101.5	692833.0	671150.0	649467.0	615379.5	581292.0	536032.0	490772.0	443658.0	396544.0	350782.0	305020.0	266947.5	228875.0	197425.5	165976.0	141132.0	116288.0	99381.0	82474.0	71820.5	61167.0	53731.0	46295.0	41272.0	36249.0	32661.0	29073.0	26197.0	23321.0	20759.0	18197.0	15802.0	13407.0	11723.0	10039.0	8396.0	6753.0	5574.0	4395.0	3591.5	2788.0	2403.5	2019.0	1919.0	1819.0	2220.0	2621.0	6762.5	10904.0	123187.5	235471.0
