Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
nH3K27_N_R2 - Adapter 1	3202550	898185	242351	53729	12082	3731	2619	2400	1938	2212	2026	1933	1801	1560	1098	756	571	405	334	229	217	172	173	105	64	60	38	34	28	23	18	34	28	77	25	24	49	101	41	46	266	262	1334	5063	3246	284	3225	3009	3563	82526
nH3K27_N_R3 - Adapter 1	3690982	1048604	272914	63118	14544	4650	3432	3042	2552	2756	2403	2645	2000	2091	1408	945	727	521	962	66	33	122	234	222	21	64	149	30	26	20	28	32	36	136	17	162	15	57	59	269	167	33	129	52	907	1056	139	1148	3811	1528
nH3K4_A_R1 - Adapter 1	3907798	1142706	338240	80837	22884	8361	6040	5604	5180	5693	4625	5474	4043	3737	2392	1829	1187	864	1628	87	73	139	304	281	13	81	175	31	58	26	40	24	175	105	26	86	142	37	54	136	182	24	104	37	510	868	109	1027	2523	1465
nH3K4_A_R2 - Adapter 1	3523036	1008091	318530	73027	19660	6698	5063	4342	4062	4290	3970	4013	3684	3021	1972	1405	934	608	487	346	323	306	234	137	69	62	49	39	31	27	32	37	29	93	41	22	47	93	62	85	331	316	2293	4740	2354	177	3370	2718	2933	84630
nH3K4_A_R3 - Adapter 1	2885813	811041	260457	59367	15489	4725	3431	3111	2937	3058	2792	2773	2608	2053	1244	826	537	433	321	272	194	168	154	108	57	29	36	26	27	15	20	22	22	60	17	21	27	53	30	41	176	161	1249	2249	960	94	1538	1293	1629	45200
nH3K4_N_R1 - Adapter 1	3502908	1010302	260620	58194	12457	3701	2567	2258	2224	2255	1961	1824	1770	1610	1118	822	585	414	328	247	249	195	205	113	74	49	52	49	37	34	24	45	24	139	44	32	67	174	76	162	456	557	2905	10401	4830	643	6642	6246	7167	187367
nH3K4_N_R2 - Adapter 1	3705570	1078215	273336	63203	14878	4507	3302	2719	2475	2760	2284	2487	1815	1858	1244	920	703	504	965	62	33	72	168	178	32	79	226	24	41	20	49	40	140	110	25	121	31	94	37	96	229	31	83	40	597	967	160	845	3473	1265
nH3K4_N_R3 - Adapter 1	3634595	1039836	279477	62919	13984	4263	2973	2781	2495	2528	2261	2090	2004	1783	1200	906	709	430	360	275	236	205	208	103	83	70	50	37	47	32	30	41	32	136	41	21	64	100	67	105	410	340	1722	6364	3953	398	3681	3590	4704	103800
nIgG_A_R1 - Adapter 1	7849436	2279750	670591	161168	44397	16376	12042	10596	9786	10698	9284	10433	8158	7276	4776	3270	2297	1584	2917	262	108	254	501	569	33	115	360	36	70	40	73	58	307	206	151	50	199	89	309	198	290	178	111	121	1380	1527	244	1327	5155	2308
nIgG_N_R1 - Adapter 1	5960233	1689470	427605	99890	23604	8305	6005	5560	4790	5022	4365	4768	3949	3609	2560	1805	1350	974	1864	117	69	220	430	469	28	132	364	39	65	36	86	74	635	257	228	58	275	113	324	235	291	217	135	107	1514	1728	283	1455	6017	2772
