Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
H3K27_A_R1	74.95773444972882	13.932920971687285	2.760049553295041	0.7841965980187425	0.3928573389558494	0.310694270886375	0.25488174528863483	0.22275452124486564	0.19742183421580037	3.6816967855359843	0.30812757298759685	0.9707699513640928	0.3284748287415794	0.1001919863508066	0.0	0.797227591698651
H3K27_A_R2	76.32091301565637	13.646879026791927	2.6462032132420212	0.7990511049979243	0.43634644994872746	0.31464164367221675	0.2499292527461141	0.2489283376846777	0.20760273384115968	2.270110230173858	0.33249866010038787	0.8696582491658632	0.5539800710449073	0.1826937872412891	0.06669885933886877	0.853865364353749
H3K27_A_R3	76.02274097251846	13.64074341541362	2.628233766631653	0.7497460722660638	0.4452013348548488	0.2925425914247695	0.29288592974497957	0.24919052974141667	0.21916268176081685	2.1023404441620497	0.22652179613530019	0.9320565244087411	0.29481857998820543	0.018136917109809244	0.0	1.8856784438394458
H3K27_A_R4	72.79771509957578	14.187869354064206	2.9109238753666355	0.843243712647099	0.4420708685605065	0.3127693047139822	0.2835758738945354	0.21105232588706702	0.2232234528163982	4.103296951133219	0.30204588573004787	1.1200701922814789	0.302721918589719	0.28829442511928044	0.0	1.671126759620182
H3K27_N_R1	72.6588991494711	13.272948427577788	2.57111841527257	0.7140937398261864	0.34781199122990125	0.22762256137215656	0.21774577890671293	0.18601280938550963	0.16891135183072578	3.5226325695752294	2.360000812069136	1.573330763996247	0.36621958682386774	0.3427175582401837	0.0	1.4699344844226112
H3K27_N_R2	75.59933166217854	13.812545491434589	2.748032168630864	0.8056230054332243	0.34983285764125516	0.255659013366774	0.23266116623716707	0.15335477618763305	0.16600670042098953	3.1816163468390037	0.3721629313314773	0.7243428253753623	0.2690010259472778	0.079523809074254	0.0	1.2503062199016919
H3K27_N_R3	72.38908831948653	12.40114464920197	2.227989459397983	0.6697885115588235	0.3739459986338079	0.27878008990675324	0.20221897750778722	0.17673544883155795	0.15102524135861903	3.536189416017474	2.6171177499721288	1.5753398476970664	0.28786065218739315	0.17114012463041942	0.0	2.941635513611663
H3K27_N_R4	74.84952084431089	12.767087799570911	2.384115869282946	0.6705548852811699	0.3466018812377388	0.2692538403820563	0.2555989519289675	0.22191230454043728	0.18391982959579933	3.9339697546212338	0.7992179082596544	0.9859380431837613	0.4025227488310465	0.1311222862043843	0.0	1.7986630527690135
H3K4_A_R1	72.46272953898205	11.295548822525028	2.261404248418196	0.8078870683790462	0.4749766027537573	0.34248991306535076	0.318051847690936	0.24902306077960767	0.204922157112657	5.3541724720917605	1.5423306230926084	1.3957201180207217	0.5689024616803462	0.15550015283209123	0.0	2.566340912575854
H3K4_A_R2	75.49876307781346	12.367897603432205	2.3318396535157753	0.8353796889460339	0.5136535094620087	0.3840913990615431	0.33569695414484674	0.3178140836770141	0.2774009722268651	3.0075804968098288	0.2690718106349659	1.4135792335173178	0.5716406061207755	0.417320648441702	0.07963408493208456	1.3786361772635543
H3K4_A_R3	75.93350729108688	11.635313042211262	2.2456962176706563	0.7893699208784827	0.4906574865551623	0.38245156159711224	0.2980194239463319	0.28741296534561117	0.27071063415602764	3.6423329599720065	0.44461231764648146	0.9729225898009795	0.8454790381046502	0.31754352056675184	0.0	1.4439710304614553
H3K4_A_R4	73.45721084793404	11.75296152775253	2.3304199683174645	0.8581474536906796	0.525572884673164	0.4122072471152894	0.3202802155954414	0.27422923361751056	0.2678724471624227	5.580686685176901	0.6776643501494463	1.36253581894025	0.7311971352394746	0.41147657010928856	0.1083223959564	0.9292152185697021
H3K4_N_R1	62.78204436125685	8.49741860226945	1.6598434393570523	0.668876734228532	0.4639266875714499	0.3367484548185082	0.28463494716580295	0.2524676533172056	0.18620017989773385	4.709454190289525	6.969759213178691	6.323563155090469	0.5000601171991494	0.42666764040680705	0.17424835485710932	5.764086269095695
H3K4_N_R2	70.50573572970652	12.086502395729172	2.5334165678924028	0.8396089915921978	0.4899167495364088	0.339763033238793	0.27315027216720256	0.258078186796714	0.21394256151032864	5.339269479510234	3.050743461360445	1.5863172503858942	0.6017206045843002	0.4691809991385806	0.06142551889808937	1.3512281979527851
H3K4_N_R3	66.49728472707599	10.8884890872902	2.3352661229354985	0.838596349398081	0.4443998928484687	0.36040919389187026	0.2934394758411296	0.2428217002769436	0.2088223100643068	3.616281485446335	4.442698235089905	6.439485035814552	0.48892446680722373	0.43157937496031556	0.0	2.471502542259123
H3K4_N_R4	71.93506082683861	11.239990841566428	2.137881719894795	0.7252399798949362	0.48342671646971114	0.36642321985564463	0.3238629852442798	0.275530162662408	0.2394785476274777	6.803028613825254	1.5088184855259534	1.5936015809265982	0.567739305804646	0.4167800975594193	0.1207153341245759	1.2624215821791418
IgG_A_R1	69.29927796810051	11.175514870323958	2.140852511954863	0.6557741654523347	0.4051631215041508	0.37147738432268396	0.3053613069313629	0.23907590600956524	0.21267665987007053	3.67634158262871	2.251621313809026	4.328309858985175	0.3399165057431588	2.1270482347024	0.22002640671488757	2.251562202947106
IgG_N_R1	57.3445780866795	13.760154258269411	3.3057544691327054	0.9852520750777937	0.458877937043276	0.32897579993293924	0.29310802471014813	0.24896790227799132	0.22199847219045188	3.486811654704446	1.757446072980455	9.604497205507373	1.5839602155207053	2.0417231860424074	0.6567086085174405	3.9211860314128697
