Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
H3K27_A_R1_1	75.26375333254049	14.196658583937083	2.91430189231251	0.8134407226572101	0.4040324411822418	0.31621378078265483	0.2468186588479947	0.2275989536031558	0.19289243337022413	3.693578757833675	0.3329025062107241	0.9433808480072527	0.35020382524219035	0.10422326347264343	0.0	0.0
H3K27_A_R1_2	75.96352040086715	13.761875000906912	2.7015695975569622	0.78687280465755	0.38668010933723257	0.30690109951153943	0.2577329495852564	0.22436250362129792	0.1927281401084551	3.6353191369183038	0.29167746971224945	0.9542148940874242	0.3164215162592274	0.09916637928472265	0.0	0.12095799758566818
H3K27_A_R2_1	77.60036304846139	13.56376228053477	2.6207192586440518	0.8008850356369146	0.44216864373606757	0.310063911139523	0.24460460789265592	0.2466050220976709	0.20684054221763565	2.225222714059862	0.3115239868583846	0.8523106149733475	0.476233882462596	0.09869645128512206	0.0	0.0
H3K27_A_R2_2	78.18693401396976	13.175524456015816	2.4676754509330547	0.77332978810019	0.4197844991488832	0.31686180339824865	0.256529689891271	0.22207017812860627	0.20972643566052962	2.183897691276665	0.2727469412846012	0.8708303150826368	0.42041641043200384	0.10496826260867505	0.0	0.11870406406906728
H3K27_A_R3_1	77.16553637545293	14.199569910169629	2.742400031042317	0.7501076291386949	0.41451230082715973	0.3385948498499902	0.2741520713049388	0.26215008888452984	0.2449067742792921	2.127505500822739	0.21727218688021702	0.9320459478414254	0.3217157666972177	0.009530566808913012	0.0	0.0
H3K27_A_R3_2	77.88621929757922	13.576356937001375	2.604724719904775	0.7482050046204115	0.45420224578926566	0.2927504589237826	0.2991625729549633	0.23736885501119942	0.22003195481881044	2.0735169596356533	0.21974556311232257	0.9151739807083578	0.286355805334766	0.02061775164120144	0.0	0.1655678929638583
H3K27_A_R4_1	74.92352489334297	14.194304671193056	2.8889796336317186	0.8418063048821056	0.44022207387682066	0.31827444114315906	0.2925318025814927	0.20626105838364792	0.20940025056562334	4.069671910481979	0.270639579983682	1.0568136904413297	0.24076888654484346	0.04680080294760149	0.0	0.0
H3K27_A_R4_2	75.79538715510914	13.760765350497994	2.6787366896820424	0.7701242359404492	0.40868904778485693	0.30384575002949615	0.24659083296382037	0.24482839341550874	0.21432489415040326	3.8660367628393075	0.2555109186919383	1.0089918873297152	0.2371266236610202	0.03694047367020457	0.0	0.1721009842342291
H3K27_N_R1_1	74.53818426203	13.25221017090494	2.569580457618891	0.7023290218977797	0.3382287802156739	0.23576443041703601	0.20967400084236434	0.19443972417945007	0.1598495956537344	3.5162385355895096	2.3497191625591274	1.4827073644783944	0.31054619832962804	0.14052829528345745	0.0	0.0
H3K27_N_R1_2	75.05020154178679	12.838286146143183	2.4693218591076693	0.7008709798619688	0.36682880122870254	0.2615579846075561	0.2325849970870486	0.18423375925468302	0.15771192233674816	3.4545629456505864	2.2784801042698346	1.4359933096429438	0.2917604762238502	0.13214492222292606	0.0	0.14546025057551137
H3K27_N_R2_1	76.23548248978338	14.19361355708575	2.841575357399382	0.801829365465047	0.3592846724926642	0.26998300272729425	0.22145709631992014	0.16545307369955659	0.15487112877117382	3.25131975085431	0.43769531139521317	0.7283525789595765	0.26008451551874595	0.07899809952784644	0.0	0.0
H3K27_N_R2_2	76.95492858249087	13.695772338794251	2.713547274513737	0.7880888989534972	0.345908438492487	0.26972339218687535	0.21922153395249733	0.16022051646949784	0.17405744942477333	3.141622959875476	0.35605510824718806	0.707180785500472	0.24607860361067474	0.08926243534969305	0.0	0.13833168213796518
H3K27_N_R3_1	74.37089398476355	12.840420491031718	2.3693444954552794	0.6752746882823861	0.39324189367752893	0.2553327730255303	0.22940414514686763	0.17607600986163469	0.17583483845503012	3.6485066717291876	2.772615196889381	1.6559732937455485	0.31321046176727974	0.12387105616912526	0.0	0.0
H3K27_N_R3_2	75.07005464219765	12.4849495299086	2.2560854763409797	0.6640832211878007	0.3870943001178001	0.2691609574273679	0.20926081536037122	0.16793786241852718	0.15553946102842156	3.604557094366513	2.6161368960602465	1.5150387229398994	0.2775669449605418	0.1352639460840814	0.0	0.18727012960124212
H3K27_N_R4_1	75.80510804118018	13.252384222954081	2.4417715520978844	0.7064875649210633	0.37882660936035817	0.2891650991853084	0.2521404605635268	0.20464449923969993	0.20454457390752825	4.042785472997127	0.8706070507367402	0.9961641021316969	0.4088813362187366	0.1464894145061444	0.0	0.0
H3K27_N_R4_2	76.61317981619054	12.706305273709345	2.3737488496189108	0.6642217121760708	0.34758731099352463	0.28493652411273995	0.2348160960177151	0.22574389476398699	0.1952309357645594	3.9323288711803692	0.7647173812671907	0.9728134817939016	0.38193182025384126	0.1417452236695976	0.0	0.16069280848771297
H3K4_A_R1_1	73.90721268944253	11.835860539639043	2.4299493615364307	0.789410904536416	0.5270411746405228	0.3663936612291253	0.29823950708094943	0.27270575160725297	0.24076628059871785	5.42377678977108	1.7355254830835176	1.4304731487898874	0.5818616231814677	0.16078308486310908	0.0	0.0
H3K4_A_R1_2	74.78599631529703	11.353745281970319	2.2424784554472663	0.8087383208238766	0.48708272654418033	0.36220124611535687	0.3111158235526744	0.24427998039257717	0.20711416175590713	5.420308729202888	1.4990701687112002	1.3562607780016989	0.5438517804104482	0.17167241340992495	0.0	0.20608381836465556
H3K4_A_R2_1	77.41372824400105	12.375919588715323	2.321548250684352	0.8173013298385725	0.5123531016003654	0.39138525345033076	0.33291162190036827	0.3156552686202785	0.28989663918248143	2.9708172090913214	0.24329054189811886	1.344696267916553	0.5117255438515256	0.15877113924936526	0.0	0.0
H3K4_A_R2_2	77.97756375924935	11.9523519463196	2.2575441853740887	0.8466436503348764	0.5139932274877458	0.36886564646103187	0.35097468316340574	0.30927045234222983	0.25668415845873693	2.8216793090910444	0.2547577161430142	1.3347042016624182	0.44053472068784777	0.15278441689948594	0.0	0.16164792632515987
H3K4_A_R3_1	76.64111860114741	12.001154794438417	2.3265855641383135	0.8018130386806828	0.48484170621257117	0.37601253619439406	0.3304843514605535	0.29160194812710893	0.2543905235068436	3.869738404265032	0.4694169029829263	0.9357604068784615	0.8366885142823034	0.38039270768485955	0.0	0.0
H3K4_A_R3_2	77.46518070815044	11.502064647782252	2.218881472994557	0.7772716070150865	0.4933173940818637	0.38762800908481554	0.2960337191855614	0.283242418175788	0.26324200968198447	3.603199365304255	0.43515572977269185	0.9614060515802402	0.8292824350546112	0.3103499435796442	0.0	0.17374448855613966
H3K4_A_R4_1	74.98845450010508	11.676173898284269	2.3188176359629895	0.8464226561412016	0.5180037740832868	0.400951876509408	0.3197337370676165	0.2750360988392426	0.25733948119820527	5.584680988102694	0.6258167612834779	1.322537916890895	0.6644362301808631	0.20159444535072546	0.0	0.0
H3K4_A_R4_2	75.78189914203925	11.194108213832019	2.2748692621782194	0.7867790914944248	0.4720230394428639	0.42586040433050243	0.3549022685566717	0.2921734059859261	0.25621131482185433	5.331709941025927	0.5537692562610969	1.3135959257861933	0.6314268781698839	0.17276668821866076	0.0	0.15790516785660966
H3K4_N_R1_1	66.28211148685322	9.228913701346624	1.8440968532154327	0.7064103250733222	0.46263079992503237	0.3594912735354151	0.28899104124160774	0.24135171754101156	0.18333025802990455	4.962773961609044	7.529671982526392	7.124442850934646	0.4725726991391581	0.3132110490290346	0.0	0.0
H3K4_N_R1_2	67.2531135509044	8.86554697805691	1.7413486417100217	0.7015912432345358	0.48437797599828764	0.3764046613584307	0.2886978280239061	0.2620500434069537	0.19533739626456822	4.955606536165304	7.399979868512794	6.412637038873494	0.44637213728337105	0.299508624052009	0.0	0.31742747615497
H3K4_N_R2_1	72.31033805823539	12.092714715173386	2.512949226969307	0.8305993677111005	0.4920711667266468	0.3450637651191583	0.2622022687974282	0.26689489424110546	0.23007713112705108	5.389744844851023	2.975932141679644	1.4898557566408004	0.5733366983339225	0.22821996439403675	0.0	0.0
H3K4_N_R2_2	73.0221535881532	11.675917602618222	2.381570243813692	0.870588826681638	0.48104330955303	0.35985169434265984	0.30411815335149595	0.23054305287947457	0.22592445031565622	5.26985504350194	2.795801901458386	1.4576601645101934	0.49152285485658465	0.2683080651795425	0.0	0.165141048784327
H3K4_N_R3_1	67.53617039033436	11.477122313486381	2.4310581982796693	0.86983536470196	0.5581453470185953	0.383373120236339	0.2781963078283625	0.2515153854560914	0.2040388209486594	3.6987631038363085	4.437361597899828	6.929491165235718	0.5467999964202451	0.3981288883176328	0.0	0.0
H3K4_N_R3_2	68.58572609120685	10.986504652473316	2.3407188094279126	0.8304325026531917	0.45476671050043505	0.390772633351722	0.28641035737884096	0.24512764804530238	0.2239328661322555	3.677733284366936	4.555422225982556	6.364184159177484	0.48417081755314567	0.38487830564841513	0.0	0.1892189361016336
H3K4_N_R4_1	73.73542902608267	11.267271992788249	2.143112431519212	0.7221962776491816	0.4796471032676665	0.3763792882096125	0.3289928888387467	0.26136104508111396	0.24814453939487374	6.820977971908017	1.4405460230334641	1.5154225255451086	0.5114401024422912	0.14907878423986082	0.0	0.0
H3K4_N_R4_2	74.55405056662565	10.96087073460685	2.0719324804828703	0.7235727881458505	0.46694286909035304	0.34140637016347336	0.3200152912291265	0.2379686037802432	0.24719758733009362	6.622244796583947	1.2182509947526317	1.4326847987530356	0.4911473531200256	0.14429281113223802	0.0	0.1674219542035837
