Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
H3K27_A_R1 - polya	0.005325580356120357	0.009842313169431457	0.015512254360609221	0.02024521374477032	0.025458676619709197	0.030239686352948072	0.03458824294448695	0.038408245696170275	0.04270875193863138	0.047201459577403584	0.051574041343481355	0.05608276576527949	0.060831741932466515	0.06546860061847205	0.07021757678565908	0.07429384806575723	0.07912290814807388	0.08420823675880534	0.0884767094352146	0.09304149259760347	0.09722187296737013	0.10161847990798678	0.1061752546788627	0.1105398280534275	0.11644201259848119	0.12521920969668857	0.12988810194874598	0.1339403480543052	0.13803263611742927	0.14182861369457372	0.14592891014921075	0.1498930639481274	0.15388124292158295	0.15807764007437553	0.16216191974598662	0.1660379812382607	0.17067483992426624	0.17487123707705882	0.17888344122505326
H3K27_A_R1 - polyg	0.8046591540479776	0.812355218291935	0.813868804287885	0.816031069996385	0.8177048238225942	0.8192504433845961	0.8208521216871887	0.8223496909001128	0.8240714950753998	0.825745248901609	0.8272027761569684	0.828788437676535	0.8303821075876147	0.8315192991824554	0.8326004320367053	0.8336895732824683	0.8348187564857961	0.8358918809485331	0.8370130557603479	0.8380060963079553	0.8390872291622054	0.8401603536249423	0.8411293689980108	0.8422585522013386	0.8433476934471016	0.8445089102164812	0.8457261857264516	0.8468073185807016	0.848008577307646	0.849530171695109	0.8507634639881053	0.852116882153796	0.8534382667534349	0.8549038024003072	0.8563292960896145	0.8576666974722793	0.8592203254257942	0.8607339114217442	0.8621674135025645
H3K27_A_R2 - polya	0.0048328038483069	0.008313276722860764	0.013217255885575718	0.016619435914280722	0.020370374983585193	0.023665792040678115	0.026640920182934794	0.029722811296803552	0.03256982387312573	0.035943533776067516	0.03943112418206218	0.043004124965346516	0.046683888720242935	0.04983695514851975	0.05361636434358744	0.056883311274917144	0.060285491303622145	0.06339585254325412	0.06661297675449819	0.06947422439370197	0.07243511747307704	0.07556683130703144	0.07851348932352491	0.08123950386535339	0.08467727155126242	0.08758834191055184	0.09080546612179591	0.0936595962295589	0.09647102114867705	0.09922550581626875	0.10167393663190583	0.1041223674475429	0.10670603136055529	0.10945339849670618	0.11222211822717951	0.11529689180960746	0.11829337254618655	0.12116173771683114	0.12400875029315332
H3K27_A_R3 - polya	0.00615514732744073	0.010274862337606086	0.016145049140628264	0.02036246490202284	0.025304494568367444	0.029880146417602484	0.03403242834484425	0.03782647418424554	0.04136812641630469	0.04569138465819759	0.04974596583421013	0.05356443686141873	0.057838844727697014	0.0621295360525135	0.06660748715051933	0.07124013110463807	0.07588091678802593	0.0800901908201514	0.08470655131573195	0.08876113249174448	0.09290527268971716	0.09678073582180946	0.10097372639539673	0.10508529967629299	0.11076822670612584	0.11926005033379869	0.123615875492768	0.127466913437053	0.13152963634233464	0.13553536714273257	0.13928870433578835	0.14326186821910988	0.14686051255605276	0.15063013320764673	0.15481498205196492	0.15880442939382464	0.16324981357475407	0.1673695285849194	0.17153809397069938
H3K27_A_R3 - polyg	1.8600594688189274	1.871010094685869	1.872939684522646	1.8752193687179943	1.8770024074279277	1.8788994303476283	1.8807068942453689	1.882489932955302	1.884338105499388	1.8863328291703179	1.8885066708851679	1.8908514889146693	1.8930171889002503	1.894531550544303	1.8957446682053993	1.8971369039104156	1.898293029466628	1.8994084463764949	1.9005238632863617	1.9016067132791523	1.9029745237963613	1.9041876414574574	1.9053600504722081	1.9066871523430717	1.9077944275236693	1.9089831199969582	1.9102776549507454	1.9114826308825723	1.9129969925266253	1.914348519585296	1.9157488970195815	1.9173446759563255	1.9188427541418402	1.9202919819517403	1.921952894722637	1.923402122532537	1.925160736054663	1.9266750976987157	1.9282627349061905
H3K27_A_R4 - illumina_universal_adapter	0.06788008491486477	0.06851369449265624	0.06873732140246498	0.06903549061554332	0.0695479689505217	0.06986477373941744	0.07036793428648713	0.0714022087443526	0.07203581832214406	0.07580952242516675	0.07626609403269295	0.07673198342812784	0.07840918525169348	0.07921051501184151	0.07947141307328505	0.07990003131708516	0.08184744899000304	0.08210834705144658	0.08264877875015106	0.0829655835390468	0.08329170611585122	0.08370168878383394	0.08422348490672102	0.0848011877570603	0.08539752618321697	0.08584478000283446	0.08657156745971291	0.08767106643293927	0.088481713980996	0.08952530622677017	0.09079252538235309	0.0921156512653882	0.09328037475397545	0.09466872515237146	0.09611298227821964	0.09790199755668966	0.09963510610770748	0.10157320599271666	0.10355789481726933
H3K27_A_R4 - polya	0.005376363623318733	0.009317787908697977	0.014628927016655826	0.01871011812066554	0.023247880832201456	0.027617923361380806	0.03160593658630354	0.035062835900430495	0.03933970055052286	0.04358861183688914	0.047753663032077134	0.05171372289327378	0.05613967214990532	0.0603885834362716	0.06494498172362491	0.06904480840345202	0.0737316557215271	0.07815760497815864	0.08191267350536392	0.08578887327538229	0.09006573792547465	0.09403511557458	0.09777154852596788	0.10154525262899057	0.1055332658539133	0.10897152959222285	0.11331361875767611	0.117050051709064	0.12113124281307372	0.12497948921936598	0.1284550241093103	0.1317255676652633	0.1350240645849424	0.13810825238272142	0.1415185627573049	0.14545998704268415	0.14956913151041995	0.15331488224971654	0.15724698874718707
H3K27_N_R1 - polya	0.0031306163275374847	0.006106178544512971	0.009657656029290165	0.01304669587443098	0.016952582754778452	0.020644347291968883	0.023922634200993987	0.02714185287742404	0.030080497449027622	0.03315942907304444	0.036422948923920784	0.03968646877479712	0.043201028614202414	0.046412863761558086	0.049971724775409655	0.053028505812203336	0.05657998329698053	0.06020529607250153	0.06323992652207207	0.06623025579719631	0.06973743210752723	0.0726391590337589	0.07540059890757735	0.07837616112455283	0.08201624095822259	0.08484413259371046	0.0881814877353306	0.09151145934787637	0.09456824038467006	0.09750688495627363	0.10044552952787722	0.1029190117677948	0.105695218699762	0.10841974092820854	0.11163157607556422	0.11490247945551493	0.11795926049230862	0.12077976859872211	0.12375533081569759
H3K27_N_R2 - polya	0.004179399228887361	0.007448767980516989	0.01146638401344742	0.015443554247388616	0.01942746544782802	0.023161960887833823	0.02670096829939167	0.029801812888566162	0.03334082030012401	0.0371831712041011	0.041012040175081775	0.04496898750952836	0.04934387476686367	0.05304466537437845	0.05720384170377119	0.061181011937712394	0.06495595317670742	0.06878482214768811	0.07277547431462571	0.07646278298914408	0.08029839292662296	0.0840868160986144	0.08782805250511841	0.09185240950454705	0.09770356842498935	0.1059545114187928	0.11018109741316759	0.11376055062371467	0.11718496160480302	0.12042062552394162	0.1241281570979546	0.12741774874907885	0.1307208223331995	0.13420590201277172	0.13814262644772368	0.1419108267202205	0.14597562951863838	0.1495011549971998	0.1532289094707074
H3K27_N_R2 - polyg	1.2519862257786962	1.2608843015563274	1.2626706576783517	1.2648075440582829	1.2666006411468056	1.2683128466373497	1.2698497869989407	1.2715687334559829	1.2731933063820504	1.2752290782645086	1.2771367717835007	1.2790983930344784	1.2810869781514491	1.2824553943505848	1.2836957321862545	1.2848147326249566	1.286075293360121	1.2872482215308088	1.288272848438536	1.2896008188386825	1.2908748615068433	1.2921691270744988	1.293551025206631	1.2948183269082936	1.2961058515094508	1.2972990025796332	1.2987146055442562	1.3000021301454134	1.301303136679567	1.3026176251467172	1.3040669329438312	1.3054960178414508	1.3069655485380596	1.3083474466701916	1.3099383147637682	1.3115628876898358	1.3130526412859391	1.3147041780779996	1.3162815642385794
