Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
H3K4_A_R3 - Adapter 1	0.9696474437996785	1.209130242454469	1.2866320198183117	1.0964855627384769	0.8854862916519729	0.26112915395466324	0.5694790709880593	1.6640419947506562	11.57563025210084	43.61344537815126	130.66666666666666	450.00000000000006	1090.0	970.0	1000.0	930.0	875.0	690.0	835.0	775.0	600.0	670.0	760.0	445.0	475.0	435.0	415.0	370.0	410.0	380.0	280.0	545.0	305.0	1100.0	550.0	510.0	910.0	520.0	845.0	1205.0	3425.0	7020.0	33370.0	78510.0	28425.0	3825.0	50005.0	133090.0	48235.0	483640.0
H3K4_A_R4 - Adapter 1	0.9738846240374901	1.1964287735622132	1.2813797318980227	1.0929244735732497	0.8689992415924296	0.33777053336955537	0.7625430175692809	2.4565217391304346	12.840579710144928	55.93023255813954	150.9090909090909	456.0	2220.0	1880.0	1940.0	1640.0	1470.0	1280.0	1070.0	770.0	1060.0	870.0	1030.0	530.0	590.0	650.0	380.0	550.0	650.0	430.0	530.0	760.0	400.0	1520.0	610.0	710.0	1230.0	810.0	1190.0	1520.0	4840.0	9970.0	53440.0	111350.0	32720.0	4710.0	66130.0	174920.0	57890.0	745100.0
H3K4_N_R1 - Adapter 1	0.8794246816823806	1.107783471522163	1.1107710974851286	0.9546063656704346	0.8305250305250306	0.7355311355311356	2.3305333072865797	8.4140625	34.59375	137.25	429.0	1542.0	6750.0	6190.0	4640.0	5030.0	3430.0	2930.0	3800.0	2390.0	2600.0	1550.0	2410.0	1530.0	930.0	1200.0	1480.0	1420.0	1570.0	1160.0	900.0	1790.0	1110.0	5940.0	1770.0	2080.0	3870.0	3260.0	4380.0	5660.0	18750.0	39280.0	221290.0	438300.0	92750.0	18510.0	286930.0	743450.0	191610.0	3190040.0
H3K4_N_R2 - Adapter 1	0.9327285327667573	1.191465456613561	1.1886032849607047	1.051500001427621	0.934808926654332	0.7313841936957515	2.1546052631578947	7.499999999999999	30.26315789473684	131.74418604651163	407.6190476190476	1538.0	5690.0	5050.0	4070.0	4020.0	3310.0	2430.0	5880.0	660.0	310.0	480.0	1480.0	1730.0	330.0	780.0	4530.0	220.0	820.0	210.0	1190.0	610.0	2770.0	1680.0	360.0	2280.0	390.0	1640.0	430.0	1910.0	3710.0	560.0	2650.0	570.0	11000.0	17350.0	2070.0	14740.0	50460.0	17960.0
H3K4_N_R3 - Adapter 1	0.9130978086933053	1.1686965083998213	1.1428844374260498	0.9994613433268725	0.8773157526426283	0.7598246841736953	2.1906305244549205	8.043606364172069	32.617924528301884	137.16981132075472	375.9259259259259	1417.1428571428573	3695.0	3295.0	3075.0	2205.0	2125.0	1985.0	3875.0	230.0	175.0	385.0	785.0	1300.0	120.0	535.0	2080.0	205.0	600.0	200.0	435.0	555.0	1275.0	925.0	270.0	1060.0	265.0	1840.0	735.0	250.0	3420.0	2155.0	1535.0	815.0	8210.0	10255.0	1320.0	8620.0	23940.0	12060.0
H3K4_N_R4 - Adapter 1	0.9519626187825936	1.194583450486723	1.2512344554493418	1.0786099722715472	0.9202896327432271	0.6971035837015219	2.056946489936181	7.517173699705594	31.764705882352942	112.03125	362.5	1170.0	4170.0	4070.0	2880.0	2810.0	2120.0	1930.0	1580.0	1140.0	1150.0	800.0	1140.0	630.0	580.0	730.0	650.0	620.0	650.0	520.0	460.0	750.0	450.0	1460.0	590.0	650.0	1220.0	980.0	980.0	1400.0	4250.0	7340.0	32180.0	98750.0	42030.0	5840.0	69130.0	143480.0	57290.0	764030.0
IgG_A_R1 - Adapter 1	0.9523017292404664	1.2004269719660292	1.2454780003232848	1.0681612328894847	0.8716317315419554	0.3047578453833449	0.7175079032429936	2.375674907644217	11.693181818181818	53.68181818181818	141.54545454545453	487.037037037037	1375.7142857142858	1302.857142857143	1117.142857142857	1071.4285714285716	881.4285714285714	875.7142857142858	1791.4285714285716	388.5714285714286	357.14285714285717	350.0	690.0	820.0	234.2857142857143	487.14285714285717	1305.7142857142858	324.28571428571433	438.5714285714286	260.0	435.7142857142857	425.7142857142857	1487.1428571428573	1077.142857142857	352.8571428571429	835.7142857142858	972.8571428571429	651.4285714285714	662.8571428571429	1177.142857142857	3497.1428571428573	1415.7142857142858	5404.285714285715	11388.57142857143	8500.0	4042.857142857143	7128.571428571429	9378.57142857143	18282.857142857145	185174.28571428574
IgG_N_R1 - Adapter 1	0.9334917426922493	1.1404573573524055	1.1656996291041029	1.0367586912629805	0.8359606128847088	0.5273987724643441	1.4797414249885195	5.174508972728557	22.40248728094969	92.82805429864253	294.4144144144144	1034.2857142857144	3108.571428571429	2998.571428571429	2394.285714285714	2261.4285714285716	1895.7142857142858	1652.857142857143	3465.714285714286	310.0	182.85714285714286	321.42857142857144	807.1428571428572	1040.0	160.0	508.5714285714286	2011.4285714285716	167.14285714285717	444.28571428571433	148.57142857142858	412.8571428571429	351.42857142857144	1594.2857142857144	1301.4285714285716	205.71428571428572	1224.2857142857144	358.5714285714286	962.8571428571429	347.14285714285717	928.5714285714287	3255.714285714286	582.8571428571429	1094.2857142857144	1025.7142857142858	6147.142857142858	7005.714285714286	960.0000000000001	6110.0	21258.57142857143	10014.285714285716
nH3K27_A_R1 - Adapter 1	1.0134637310621237	1.1955280956749814	1.4402451347002398	1.3169245096082818	1.4374838081767833	2.0885030107828033	6.104638135783105	22.809139784946236	87.06093189964159	361.72661870503595	1314.0	4935.555555555556	20325.0	17300.0	11070.0	7655.0	5200.0	3810.0	2760.0	2195.0	2055.0	1540.0	1190.0	920.0	500.0	220.0	275.0	205.0	190.0	185.0	180.0	185.0	155.0	480.0	250.0	155.0	235.0	485.0	300.0	335.0	1470.0	1440.0	8780.0	23615.0	11650.0	1120.0	19935.0	16935.0	15875.0	405850.0
nH3K27_A_R2 - Adapter 1	1.0253307173126933	1.200318948965287	1.4709513817723496	1.3468849090361552	1.4864520151918825	2.1795816563686867	6.337868480725623	23.950113378684808	87.93103448275862	370.8695652173913	1343.235294117647	5080.0	20495.0	16520.0	12210.0	7705.0	5515.0	3890.0	2915.0	2090.0	2000.0	1655.0	1210.0	855.0	520.0	380.0	280.0	155.0	260.0	155.0	160.0	190.0	135.0	530.0	250.0	150.0	180.0	410.0	270.0	430.0	1445.0	1520.0	10440.0	21320.0	10350.0	765.0	12335.0	10955.0	12090.0	364660.0
nH3K27_A_R3 - Adapter 1	1.0206508531330305	1.2018170833120774	1.4144188530176216	1.352082259783887	1.5352843993391552	2.2928533215847944	6.980110775427996	24.19939577039275	90.44265593561367	414.59677419354836	1395.1612903225805	5966.25	18525.0	16905.0	11070.0	7410.0	5345.0	3695.0	6825.0	350.0	285.0	505.0	1110.0	1250.0	115.0	295.0	740.0	120.0	135.0	60.0	180.0	140.0	170.0	730.0	85.0	740.0	95.0	255.0	215.0	1025.0	585.0	65.0	410.0	160.0	3460.0	3760.0	450.0	3775.0	11995.0	5015.0
nH3K27_N_R1 - Adapter 1	0.952542603934534	1.097937234483729	1.1248527302188511	0.9987331847905269	0.8929639567275648	1.1119086683073558	3.009297238173366	11.000546746856205	39.649890590809626	165.52631578947367	585.5172413793103	2251.4285714285716	7550.0	6985.0	4655.0	3390.0	2335.0	1805.0	1255.0	1010.0	910.0	720.0	815.0	510.0	340.0	235.0	200.0	175.0	100.0	120.0	75.0	85.0	100.0	505.0	160.0	70.0	225.0	355.0	180.0	285.0	1435.0	1125.0	5420.0	27720.0	14500.0	1700.0	19825.0	17455.0	19260.0	398070.0
nH3K27_N_R2 - Adapter 1	0.9782760433483307	1.097466474295249	1.18448692646583	1.0503997966804168	0.944806768951657	1.1670680972191811	3.2770270270270268	12.012012012012011	38.76	176.96	653.5483870967741	2416.25	9005.0	7800.0	5490.0	3780.0	2855.0	2025.0	1670.0	1145.0	1085.0	860.0	865.0	525.0	320.0	300.0	190.0	170.0	140.0	115.0	90.0	170.0	140.0	385.0	125.0	120.0	245.0	505.0	205.0	230.0	1330.0	1310.0	6670.0	25315.0	16230.0	1420.0	16125.0	15045.0	17815.0	412630.0
nH3K27_N_R3 - Adapter 1	0.9667471917834626	1.0986073324583063	1.143712293794516	1.0580451359728305	0.9752041733159893	1.2471503285503553	3.6820083682008367	13.055793991416309	43.77358490566038	188.76712328767124	667.5	2938.8888888888887	10000.0	10455.0	7040.0	4725.0	3635.0	2605.0	4810.0	330.0	165.0	610.0	1170.0	1110.0	105.0	320.0	745.0	150.0	130.0	100.0	140.0	160.0	180.0	680.0	85.0	810.0	75.0	285.0	295.0	1345.0	835.0	165.0	645.0	260.0	4535.0	5280.0	695.0	5740.0	19055.0	7640.0
nH3K4_A_R1 - Adapter 1	1.0293207749005118	1.203962910508949	1.425488273142164	1.3627275792312878	1.5430883344571813	2.2551584625758596	6.516344805264861	24.18644799309452	89.46459412780656	392.62068965517244	1284.7222222222222	6082.222222222222	20215.0	18685.0	11960.0	9145.0	5935.0	4320.0	8140.0	435.0	365.0	695.0	1520.0	1405.0	65.0	405.0	875.0	155.0	290.0	130.0	200.0	120.0	875.0	525.0	130.0	430.0	710.0	185.0	270.0	680.0	910.0	120.0	520.0	185.0	2550.0	4340.0	545.0	5135.0	12615.0	7325.0
nH3K4_A_R2 - Adapter 1	1.0525310079696368	1.2046962180972538	1.522608486989974	1.3963070816308192	1.5036328871892926	2.049069995105237	6.195545766030347	21.253059226627506	79.49119373776908	335.15625	1240.625	5016.25	18420.0	15105.0	9860.0	7025.0	4670.0	3040.0	2435.0	1730.0	1615.0	1530.0	1170.0	685.0	345.0	310.0	245.0	195.0	155.0	135.0	160.0	185.0	145.0	465.0	205.0	110.0	235.0	465.0	310.0	425.0	1655.0	1580.0	11465.0	23700.0	11770.0	885.0	16850.0	13590.0	14665.0	423150.0
nH3K4_A_R3 - Adapter 1	1.0648264515602452	1.1970531841111989	1.5376826926937093	1.401960529640554	1.4631036046248016	1.7853094536386307	5.1851292126341235	18.808948004836758	70.94202898550725	296.8932038834951	1073.8461538461538	4621.666666666667	13040.0	10265.0	6220.0	4130.0	2685.0	2165.0	1605.0	1360.0	970.0	840.0	770.0	540.0	285.0	145.0	180.0	130.0	135.0	75.0	100.0	110.0	110.0	300.0	85.0	105.0	135.0	265.0	150.0	205.0	880.0	805.0	6245.0	11245.0	4800.0	470.0	7690.0	6465.0	8145.0	226000.0
nH3K4_N_R1 - Adapter 1	0.9512427105345089	1.0974224147894405	1.1323751897647396	1.011394129833294	0.8659955786048968	1.02917049025333	2.8553948832035596	10.044483985765124	39.5729537366548	161.07142857142858	560.2857142857143	2026.6666666666665	8850.0	8050.0	5590.0	4110.0	2925.0	2070.0	1640.0	1235.0	1245.0	975.0	1025.0	565.0	370.0	245.0	260.0	245.0	185.0	170.0	120.0	225.0	120.0	695.0	220.0	160.0	335.0	870.0	380.0	810.0	2280.0	2785.0	14525.0	52005.0	24150.0	3215.0	33210.0	31230.0	35835.0	936835.0
nH3K4_N_R2 - Adapter 1	0.9548787286981416	1.1113697147410702	1.1269640420892226	1.0423431817994409	0.9814696317015087	1.189276196004961	3.48532826683555	11.47741663149008	41.80743243243243	186.48648648648648	617.2972972972973	2763.3333333333335	9075.0	9290.0	6220.0	4600.0	3515.0	2520.0	4825.0	310.0	165.0	360.0	840.0	890.0	160.0	395.0	1130.0	120.0	205.0	100.0	245.0	200.0	700.0	550.0	125.0	605.0	155.0	470.0	185.0	480.0	1145.0	155.0	415.0	200.0	2985.0	4835.0	800.0	4225.0	17365.0	6325.0
nH3K4_N_R3 - Adapter 1	0.9736407291305584	1.1142112738461407	1.197867577378113	1.078710053490605	0.9589905362776026	1.16938691537512	3.26201448321264	12.208077260755047	43.771929824561404	178.0281690140845	628.0555555555555	2322.222222222222	10020.0	8915.0	6000.0	4530.0	3545.0	2150.0	1800.0	1375.0	1180.0	1025.0	1040.0	515.0	415.0	350.0	250.0	185.0	235.0	160.0	150.0	205.0	160.0	680.0	205.0	105.0	320.0	500.0	335.0	525.0	2050.0	1700.0	8610.0	31820.0	19765.0	1990.0	18405.0	17950.0	23520.0	519000.0
nIgG_A_R1 - Adapter 1	1.0258331180235885	1.1917508415572287	1.4022194927435316	1.3480217700229762	1.485361177930859	2.191531502596221	6.446121727958889	22.68950749464668	83.78424657534246	366.36986301369865	1271.7808219178082	5796.111111111111	16316.0	14552.0	9552.0	6540.0	4594.0	3168.0	5834.0	524.0	216.0	508.0	1002.0	1138.0	66.0	230.0	720.0	72.0	140.0	80.0	146.0	116.0	614.0	412.0	302.0	100.0	398.0	178.0	618.0	396.0	580.0	356.0	222.0	242.0	2760.0	3054.0	488.0	2654.0	10310.0	4616.0
nIgG_N_R1 - Adapter 1	0.9167809547371251	1.0394720926166086	1.0523617690004328	0.9833415696844526	0.9294523460756982	1.308100615854715	3.783392137096774	14.012096774193548	48.28629032258064	202.5	704.0322580645161	2980.0	9872.5	9022.5	6400.0	4512.5	3375.0	2435.0	4660.0	292.5	172.5	550.0	1075.0	1172.5	70.0	330.0	910.0	97.5	162.5	90.0	215.0	185.0	1587.5	642.5	570.0	145.0	687.5	282.5	810.0	587.5	727.5	542.5	337.5	267.5	3785.0	4320.0	707.5	3637.5	15042.5	6930.0
