Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
H3K27_A_R1_1	52.0	87.0	120.5	179.5	249.0	348.0	441.0	657.0	879.0	1351.0	1855.5	2822.0	3804.5	5421.5	7231.5	10305.0	13578.0	18544.0	23795.0	32042.0	40490.0	52214.5	64554.0	82262.0	100988.5	118109.0	143226.5	174276.5	209353.5	252477.0	300627.5	355741.5	412676.0	476159.0	541876.5	609077.5	674037.0	724364.5	758798.0	783563.5	809223.0	833553.0	854044.5	880208.0	907089.5	928463.5	947310.0	956681.5	961463.5	954529.5	942779.0	907655.5	864748.0	810029.5	753542.5	685821.5	616242.5	545671.0	478300.0	412110.5	349458.0	294484.0	241505.5	202209.0	163027.0	131871.0	104591.5	83347.0	64262.5	51159.5	40655.5	33014.5	26301.5	21968.0	18394.5	15719.5	13574.0	11661.0	9927.5	8584.0	7311.5	6295.5	5247.0	4422.5	3650.0	2990.5	2343.0	1856.5	1414.0	1109.5	800.0	585.5	377.0	258.0	141.0	161.5	180.5	123.5	69.0	39.5	10.0
H3K27_A_R1_2	109.0	156.5	205.5	277.0	347.0	466.0	588.0	829.5	1079.0	1544.5	2033.0	3042.5	4077.5	5896.5	7929.5	11066.0	14333.5	19429.5	24912.0	33289.0	41976.5	54655.0	67867.5	86081.0	105128.5	122319.0	147333.0	178244.5	213564.5	257032.5	305766.5	362199.0	419816.5	482480.5	547551.5	614235.0	678350.0	726780.0	760218.0	787146.5	814419.0	838106.0	857734.5	881630.5	905817.0	925749.0	944030.5	953089.5	957412.5	948763.5	934410.5	897599.0	853756.5	798030.5	740777.0	674196.0	605544.5	535622.0	469457.0	404305.0	342211.0	288143.0	236993.0	199539.5	161359.5	130463.5	103311.5	82645.0	64518.0	51433.5	40560.5	33056.0	26602.0	22236.5	18576.0	16106.5	14227.5	12316.0	10561.5	9201.0	7852.5	6870.0	5927.0	5108.0	4307.5	3596.0	2873.5	2381.0	1950.5	1618.0	1299.0	1093.0	886.0	781.5	679.5	678.5	689.0	1271.5	1867.0	9119.5	16351.0
H3K27_A_R2_1	77.0	109.5	142.5	196.5	257.5	353.5	449.0	659.5	867.5	1266.5	1694.0	2482.0	3275.0	4665.5	6278.5	8775.0	11382.0	15727.5	20326.0	27115.0	34177.5	44546.5	55297.5	70412.5	86500.0	101414.5	123858.0	152783.0	185696.5	227664.5	275690.5	331100.0	387714.0	452789.0	523199.5	595759.0	665232.5	722867.5	764931.5	800515.0	838301.0	876108.0	910039.0	949020.5	989384.5	1027526.0	1063807.5	1089927.0	1111027.0	1119118.0	1119963.5	1090545.0	1051741.0	996312.5	936812.0	859984.5	779245.5	695841.0	616244.0	535632.0	457951.0	388091.0	321971.0	272345.0	221335.0	181068.5	146154.5	117661.0	91445.0	72695.0	57844.0	47338.5	37952.5	31857.0	26809.0	22928.5	19951.0	17332.5	14851.0	12961.0	11157.5	9371.5	7601.0	6451.0	5340.5	4393.5	3503.5	2800.0	2129.0	1581.0	1036.5	752.5	470.5	343.0	218.0	181.5	148.5	97.5	49.0	31.5	13.0
H3K27_A_R2_2	115.0	178.5	247.0	304.0	363.5	448.5	530.0	773.5	1036.5	1488.0	1942.5	2674.0	3427.0	4798.0	6367.0	8930.0	11638.5	16016.0	20631.5	27600.0	34796.5	44865.0	55519.0	71107.5	87484.0	102654.0	125105.0	153528.0	186218.0	228343.5	276186.0	331880.0	389523.0	454860.5	523655.5	594860.5	664866.0	721699.5	762496.5	798305.0	836391.5	874229.5	908391.0	946519.0	985927.5	1025118.0	1061479.5	1086826.0	1108066.0	1115993.0	1116767.5	1086731.0	1046415.5	989598.5	929787.0	853819.0	774636.0	691740.5	611696.0	533421.5	458390.5	388441.0	321528.0	271738.5	221109.5	180656.5	145433.5	117817.5	92423.0	73347.5	58152.0	48165.5	39353.5	33247.0	28113.0	24340.5	21379.5	18518.0	15826.0	13860.0	12017.0	10338.0	8678.0	7526.0	6385.5	5355.0	4382.0	3610.5	2886.5	2440.5	1996.5	1642.0	1286.5	1115.0	949.0	896.0	897.0	1520.5	2245.0	10621.5	18855.0
H3K27_A_R3_1	84.0	103.5	118.0	170.5	235.0	359.5	479.0	675.0	875.5	1353.0	1860.0	2779.0	3707.0	5086.0	6636.0	9249.0	12031.5	16741.0	21755.5	28927.5	36327.0	47138.5	58465.0	74554.0	91180.0	106348.5	129124.5	157258.0	188992.0	227693.5	271265.5	322571.0	375004.5	432715.5	494418.5	558035.5	619258.0	669097.0	704777.0	735351.0	766882.0	795496.5	820952.0	851194.0	881189.5	907159.5	931342.0	945425.0	955926.0	954978.0	946645.0	912583.5	872215.0	820614.5	765879.0	698940.5	629106.5	557533.5	490016.5	422554.0	357918.5	301667.0	248077.5	207544.0	166614.5	134880.5	107346.5	85600.0	65988.5	52233.5	41284.5	33542.0	26932.5	22427.5	18406.0	15689.0	13697.0	11748.0	9922.5	8570.0	7253.5	6068.0	4924.5	4165.0	3424.0	2805.5	2222.0	1785.5	1381.0	1031.5	677.5	496.5	327.0	249.0	170.0	177.5	182.5	120.0	55.0	28.0	7.0
H3K27_A_R3_2	120.0	145.5	170.0	263.5	367.5	449.5	531.5	787.0	1051.0	1492.0	1953.5	2813.5	3682.0	5255.0	7020.0	9738.5	12581.0	17224.0	22312.0	29904.5	37619.0	48539.5	59945.0	76066.5	92954.5	108104.5	131030.0	159980.0	191976.5	231059.0	275229.5	326612.5	379642.5	437721.5	498445.5	561084.0	621802.5	670606.0	705325.0	735597.5	767082.0	796724.5	823053.5	852503.5	882151.5	907202.0	929735.0	942354.0	950738.0	947878.5	939285.5	904734.0	862460.0	809430.5	754106.5	687443.5	618817.5	548340.0	481481.0	416184.5	353137.0	297674.0	245649.0	206437.0	166112.0	134257.5	106574.0	85194.0	66191.5	52623.0	41802.5	34363.0	27706.0	23052.5	19167.0	16527.0	14535.5	12469.5	10544.5	9355.5	8145.0	6939.0	5816.5	4994.0	4215.0	3622.5	3027.5	2502.5	2017.5	1697.5	1389.5	1157.0	922.5	825.0	740.0	766.0	797.0	1882.0	3001.0	12252.0	21460.0
H3K27_A_R4_1	54.0	78.5	104.0	180.5	257.0	361.5	469.0	679.0	884.0	1317.0	1791.0	2737.0	3692.0	5230.0	6921.5	9472.0	12213.0	16780.5	21562.5	28954.5	36683.5	47510.0	58706.5	73834.0	89704.5	104084.0	125291.0	151735.0	182301.0	219669.0	260319.5	307130.5	355131.5	407371.0	462196.5	517740.0	571252.0	612906.5	640853.5	660872.0	681680.0	702660.5	720552.0	741474.5	762460.0	780104.0	796885.0	804119.0	806999.5	802072.5	793064.5	764616.5	730480.5	685492.5	638166.5	582057.0	523800.5	464077.0	407326.0	350404.5	296863.5	251352.0	207186.5	173516.0	140142.0	113266.5	89385.5	71419.0	55341.0	43915.5	34842.0	28266.5	22436.0	18589.5	15316.0	13132.5	11550.5	10003.0	8499.0	7224.5	6077.5	5208.5	4290.5	3604.5	2989.0	2485.5	1980.5	1541.0	1136.5	877.5	616.0	455.5	300.0	221.0	142.5	153.0	164.0	108.0	50.5	30.0	12.0
H3K27_A_R4_2	112.0	157.0	204.5	275.0	347.0	457.0	568.5	786.0	1006.5	1472.0	1965.5	3015.5	4110.5	5640.0	7338.0	10188.0	13202.5	17970.0	23056.5	30391.5	37861.0	48886.0	60388.5	75900.5	92361.5	107302.5	129031.0	156268.0	187059.0	223689.0	263862.5	311037.5	359814.0	412450.5	467187.0	522757.0	575882.5	615555.0	642816.0	664682.0	686289.0	705498.5	721998.0	740695.5	759174.0	777751.0	795139.5	800697.5	802342.5	795602.0	784414.0	754602.0	719035.0	672789.0	624995.5	570101.0	513319.0	454957.0	399482.0	344519.5	292756.5	247055.5	203058.5	171112.5	138704.0	111884.0	88438.5	70735.5	54987.0	43953.0	34998.5	28572.0	22912.0	19096.0	15927.5	13729.5	12040.5	10396.0	8880.5	7824.0	6802.0	5843.0	4869.0	4218.0	3598.0	3059.0	2546.5	2121.5	1715.0	1435.5	1154.5	957.0	782.5	710.5	642.0	677.0	720.0	1744.0	2815.0	11433.0	19989.0
H3K27_N_R1_1	60.0	87.5	113.0	163.5	220.5	308.5	394.5	593.0	798.5	1203.5	1628.0	2448.5	3310.5	4763.5	6359.0	9029.0	11868.0	16266.5	20910.5	27944.0	35312.5	46085.0	57345.0	73176.5	89837.5	104581.5	126501.5	154960.5	187146.5	226149.5	270171.5	321985.0	376071.5	436900.5	500370.5	567885.5	634787.0	689450.5	730869.5	766535.0	800833.5	835699.5	868570.5	906028.5	943900.0	979971.0	1015098.5	1039898.0	1059395.5	1062559.0	1058414.5	1031438.0	996610.5	944564.5	890485.0	820892.5	744312.5	664575.0	589617.0	511928.0	438623.0	374234.0	311336.0	263131.5	214055.0	173195.5	137585.0	111320.0	87629.0	70739.0	57101.5	47058.5	37999.0	31744.5	26522.0	22879.0	20101.5	17565.0	15180.5	13148.0	11158.5	9580.0	8054.0	6726.0	5434.5	4425.0	3440.0	2743.5	2102.5	1582.0	1063.0	789.5	522.0	364.0	212.0	187.5	159.0	105.5	51.0	26.5	7.0
