TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	981299.5	981262.5	981340.6
2000000.0	1926580.0	1926435.0	1926728.5
3000000.0	2837811.0	2837495.1	2838121.0
4000000.0	3716800.0	3716266.6	3717314.2
5000000.0	4565208.5	4564423.9	4565964.7
6000000.0	5384623.5	5383535.4	5385622.9
7000000.0	6176486.9	6175053.5	6177752.2
8000000.0	6942124.8	6940338.7	6943700.9
9000000.0	7682799.8	7680644.9	7684763.5
10000000.0	8399679.8	8397181.1	8402135.1
11000000.0	9093946.8	9091071.8	9096910.4
12000000.0	9766628.1	9763451.2	9770097.4
13000000.0	10418738.5	10415172.2	10422714.4
14000000.0	11051275.7	11047189.6	11055984.7
15000000.0	11665162.1	11660296.6	11670486.8
16000000.0	12260914.1	12255445.1	12266844.3
17000000.0	12839696.4	12833333.8	12846472.1
18000000.0	13401793.9	13394746.2	13409972.0
19000000.0	13948496.2	13940379.0	13957799.6
20000000.0	14480125.2	14470892.0	14490465.2
21000000.0	14997296.1	14986897.3	15008745.0
22000000.0	15500370.8	15488986.3	15513257.5
23000000.0	15990587.2	15977726.1	16004752.6
24000000.0	16467807.7	16453646.8	16483624.3
25000000.0	16933531.2	16917661.8	16950495.0
26000000.0	17387633.7	17369705.9	17405910.0
27000000.0	17829492.2	17810116.7	17850495.5
28000000.0	18260156.2	18239427.2	18285652.6
29000000.0	18680628.5	18658345.9	18710074.0
30000000.0	19091060.5	19066617.6	19124331.7
31000000.0	19491525.2	19465043.0	19531625.6
32000000.0	19883177.5	19853973.6	19930303.1
33000000.0	20267381.8	20233744.9	20317630.7
34000000.0	20640526.4	20604676.4	20701815.2
35000000.0	21004954.7	20967070.0	21077383.2
36000000.0	21361817.1	21321216.9	21443968.4
37000000.0	21711502.4	21667398.2	21803401.0
38000000.0	22052679.8	22005879.7	22155937.4
39000000.0	22386361.5	22336915.3	22501817.6
40000000.0	22712443.8	22660748.3	22841266.9
41000000.0	23032671.5	22977585.1	23174496.0
42000000.0	23345957.5	23287413.9	23501702.4
43000000.0	23652917.8	23590693.7	23823070.9
44000000.0	23953595.6	23887611.9	24138774.4
45000000.0	24247646.7	24178385.1	24453021.9
46000000.0	24535723.3	24463201.7	24762084.9
47000000.0	24818040.4	24742242.7	25065846.0
48000000.0	25094768.8	25015681.8	25364369.5
49000000.0	25366072.3	25283685.8	25657724.4
50000000.0	25632538.7	25546414.9	25945984.9
51000000.0	25894242.5	25804023.1	26229230.6
52000000.0	26150992.4	26056658.7	26507545.8
53000000.0	26402287.1	26304463.9	26781018.2
54000000.0	26648429.2	26547575.9	27049737.9
55000000.0	26890004.2	26786126.7	27313796.2
56000000.0	27127138.0	27020243.3	27573284.5
57000000.0	27359951.7	27249911.8	27828293.5
58000000.0	27588562.4	27475117.4	28078912.6
59000000.0	27813082.7	27696329.2	28325229.4
60000000.0	28033621.3	27913729.3	28573533.0
61000000.0	28250424.5	28127254.0	28819574.4
62000000.0	28463606.3	28337005.4	29062249.9
63000000.0	28673110.3	28543082.2	29301617.4
64000000.0	28879030.8	28745579.6	29537733.9
65000000.0	29081458.9	28944589.3	29770654.9
66000000.0	29280482.4	29140200.4	30000435.1
67000000.0	29476186.4	29332498.5	30227128.7
68000000.0	29668653.2	29521559.4	30450789.0
69000000.0	29857962.4	29707428.8	30671469.4
70000000.0	30044190.9	29890224.9	30889222.8
71000000.0	30227413.2	30070022.8	31104101.7
72000000.0	30407701.4	30246895.4	31316158.7
73000000.0	30585125.4	30420912.9	31524077.6
74000000.0	30759752.9	30592143.6	31712656.0
75000000.0	30931649.3	30760653.4	31898847.4
76000000.0	31100878.1	30926506.3	32082736.2
77000000.0	31267501.0	31089452.2	32264400.3
78000000.0	31431577.6	31249763.3	32443911.0
79000000.0	31593165.7	31407857.0	32621334.2
80000000.0	31752321.6	31563572.6	32796731.0
81000000.0	31909099.6	31716923.0	32970762.7
82000000.0	32063552.7	31867961.2	33144654.1
83000000.0	32215732.1	32016738.9	33316707.8
84000000.0	32365687.6	32163306.1	33486969.0
85000000.0	32513467.6	32307711.5	33655480.2
86000000.0	32659119.0	32450002.1	33822281.6
87000000.0	32802687.6	32590224.0	33987411.3
88000000.0	32944217.5	32728421.6	34150904.9
89000000.0	33083752.0	32864638.1	34312796.7
90000000.0	33221332.9	32998915.6	34446405.9
91000000.0	33357000.8	33131295.1	34576485.5
92000000.0	33490795.5	33261816.1	34704864.6
93000000.0	33622755.4	33390517.4	34831579.6
94000000.0	33752918.0	33517436.5	34956665.0
95000000.0	33881319.7	33642609.9	35080154.1
96000000.0	34007996.0	33766073.3	35202078.7
97000000.0	34132981.5	33887861.3	35322469.3
98000000.0	34256309.8	34008007.4	35441355.4
