TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	978013.0	977966.8	978064.6
2000000.0	1913992.0	1913853.4	1914162.7
3000000.0	2810526.5	2810268.4	2810885.4
4000000.0	3669978.5	3669519.0	3670564.2
5000000.0	4494476.0	4493827.9	4495340.2
6000000.0	5286031.0	5285153.3	5287201.9
7000000.0	6046470.0	6045316.1	6047986.2
8000000.0	6777522.5	6776042.2	6779406.8
9000000.0	7480809.2	7478935.6	7483062.2
10000000.0	8157778.3	8155484.6	8160437.7
11000000.0	8809866.2	8807077.6	8812947.9
12000000.0	9438331.3	9435054.2	9441816.4
13000000.0	10044477.8	10040545.1	10048376.4
14000000.0	10629334.1	10624764.4	10633760.6
15000000.0	11193898.7	11188845.2	11199012.0
16000000.0	11739396.3	11733768.4	11745137.8
17000000.0	12266520.5	12260443.7	12273056.1
18000000.0	12776504.3	12769690.8	12783707.9
19000000.0	13269754.3	13262407.4	13277881.9
20000000.0	13747300.0	13739358.0	13756551.8
21000000.0	14209337.8	14201108.9	14220589.8
22000000.0	14657849.5	14648527.4	14670595.5
23000000.0	15092345.7	15081283.0	15107171.8
24000000.0	15514152.5	15500211.2	15531328.7
25000000.0	15923404.4	15906274.9	15943794.0
26000000.0	16320877.2	16299956.2	16345014.2
27000000.0	16706839.3	16681530.9	16735503.0
28000000.0	17081693.9	17052354.3	17115745.8
29000000.0	17446211.2	17413858.3	17486164.8
30000000.0	17801351.3	17765211.6	17847724.7
31000000.0	18146701.6	18106790.7	18201505.4
32000000.0	18482451.8	18438959.1	18547142.9
33000000.0	18810060.3	18762189.3	18884197.6
34000000.0	19128958.6	19076627.2	19211243.9
35000000.0	19438356.0	19382094.4	19530109.9
36000000.0	19740936.9	19679706.1	19846667.5
37000000.0	20036230.4	19969574.0	20159803.6
38000000.0	20322049.5	20251987.8	20466886.8
39000000.0	20601284.5	20527219.7	20769360.9
40000000.0	20873387.9	20791871.6	21066291.1
41000000.0	21139997.9	21049436.1	21357193.3
42000000.0	21400881.4	21300553.1	21643181.1
43000000.0	21655751.7	21545477.4	21924646.9
44000000.0	21904799.2	21784443.9	22195392.3
45000000.0	22148227.2	22011880.9	22463178.0
46000000.0	22386229.9	22234162.3	22728334.4
47000000.0	22618992.7	22451578.5	22988217.8
48000000.0	22846692.5	22664561.1	23242716.1
49000000.0	23069498.8	22874257.1	23491815.0
