TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	986469.0	986416.9	986504.0
2000000.0	1946739.0	1946603.5	1946839.0
3000000.0	2881871.5	2881626.1	2882064.5
4000000.0	3792800.5	3792427.0	3793115.2
5000000.0	4680404.5	4679887.8	4680855.5
6000000.0	5545511.5	5544833.2	5546124.2
7000000.0	6388944.0	6388072.9	6389717.7
8000000.0	7211436.0	7210365.8	7212391.6
9000000.0	8013688.5	8012436.3	8014870.3
10000000.0	8796419.5	8794981.9	8797849.0
11000000.0	9560346.8	9558662.4	9561987.2
12000000.0	10306032.7	10304114.4	10307924.0
13000000.0	11034078.8	11031918.7	11036266.0
14000000.0	11745063.1	11742680.8	11747596.5
15000000.0	12439567.0	12436960.5	12442474.9
16000000.0	13118186.9	13115254.4	13121463.0
17000000.0	13781334.0	13778109.7	13785112.1
18000000.0	14429602.4	14425975.3	14433873.0
19000000.0	15063365.2	15059436.2	15068222.1
20000000.0	15683127.4	15678888.9	15688617.4
21000000.0	16289448.2	16284761.5	16295499.1
22000000.0	16882579.6	16877359.0	16889290.8
23000000.0	17462863.0	17457188.1	17470400.0
24000000.0	18031031.4	18024630.8	18039219.2
25000000.0	18587161.9	18580302.2	18596126.2
26000000.0	19131494.6	19124188.3	19141485.0
27000000.0	19664741.5	19656542.8	19675646.4
28000000.0	20187167.3	20177601.7	20198953.9
29000000.0	20698704.7	20688354.5	20711729.7
30000000.0	21199967.3	21188817.4	21213941.3
31000000.0	21691565.3	21679349.1	21706032.0
32000000.0	22173129.1	22160130.4	22188423.9
33000000.0	22645662.7	22631254.1	22662227.7
34000000.0	23109077.9	23093162.7	23127001.1
35000000.0	23563552.3	23546113.1	23583011.0
36000000.0	24009415.7	23989116.9	24030563.0
37000000.0	24446725.2	24424585.4	24469872.8
38000000.0	24875462.4	24851589.0	24901334.9
39000000.0	25296732.6	25270420.0	25325063.0
40000000.0	25710432.9	25681474.9	25741114.2
41000000.0	26117130.1	26084928.7	26150188.9
42000000.0	26516988.8	26481003.5	26552428.4
43000000.0	26908576.8	26869884.7	26947990.9
44000000.0	27291950.8	27251752.5	27337006.3
45000000.0	27669829.7	27626827.6	27719676.1
46000000.0	28041791.5	27995362.5	28096227.2
47000000.0	28406481.2	28357395.1	28467950.7
48000000.0	28765315.9	28713090.0	28833637.0
49000000.0	29118194.5	29062606.9	29193851.2
50000000.0	29464325.7	29406100.2	29548821.4
51000000.0	29804783.2	29743719.5	29899096.6
52000000.0	30140651.5	30075609.6	30244844.6
53000000.0	30470534.8	30401910.8	30587414.7
54000000.0	30794940.1	30722759.2	30925762.2
55000000.0	31114329.6	31038161.3	31259702.9
56000000.0	31428626.2	31348321.1	31584213.6
57000000.0	31737952.4	31653393.0	31904542.8
58000000.0	32042426.6	31953496.5	32220541.6
59000000.0	32342163.6	32248747.4	32535189.7
60000000.0	32636833.0	32539258.1	32846759.9
61000000.0	32926687.0	32825137.6	33154800.9
62000000.0	33212348.9	33106491.8	33459357.7
63000000.0	33494642.3	33383423.3	33759175.0
64000000.0	33771884.6	33656032.1	34055602.5
65000000.0	34044676.5	33924414.7	34348738.7
66000000.0	34313412.5	34188665.5	34638677.6
67000000.0	34578182.6	34448875.7	34925508.7
68000000.0	34839074.4	34705134.1	35209317.0
69000000.0	35096173.1	34957527.0	35490183.4
70000000.0	35350035.2	35206138.2	35768184.2
71000000.0	35601856.7	35451049.3	36043392.2
72000000.0	35849129.4	35692339.6	36315875.8
73000000.0	36091955.2	35930086.0	36585699.9
74000000.0	36331367.2	36164363.5	36852925.7
75000000.0	36567436.9	36395245.2	37117610.8
76000000.0	36800233.9	36622801.8	37379809.6
77000000.0	37028572.9	36847102.5	37639573.0
78000000.0	37253638.5	37068146.6	37896949.2
79000000.0	37475591.2	37285841.3	38151983.1
80000000.0	37694494.6	37500470.7	38404717.1
81000000.0	37910410.2	37712097.0	38655190.7
82000000.0	38123398.1	37920780.6	38903441.0
83000000.0	38333649.4	38126580.3	39149502.9
84000000.0	38542289.8	38329553.7	39395568.5
85000000.0	38748623.7	38529756.4	39644038.7
86000000.0	38952316.8	38727243.1	39890954.6
87000000.0	39153421.4	38922066.8	40136358.3
88000000.0	39351988.8	39114279.2	40380289.9
89000000.0	39548068.9	39303928.5	40622786.8
90000000.0	39741710.4	39491032.5	40863884.7
91000000.0	39931978.9	39675672.2	41103617.2
92000000.0	40119653.0	39857894.5	41342015.8
93000000.0	40304973.6	40037744.9	41579110.3
94000000.0	40488802.6	40215268.1	41814928.7
95000000.0	40670752.9	40390507.5	42049497.3
96000000.0	40850516.0	40563505.5	42282840.8
97000000.0	41028132.0	40734303.5	42514982.2
98000000.0	41203640.0	40902942.0	42745943.1
99000000.0	41377077.9	41069460.3	42975743.7
100000000.0	41549634.6	41233897.0	43204402.8
101000000.0	41720741.1	41396289.7	43431938.0
102000000.0	41889921.0	41556675.2	43658365.4
103000000.0	42057208.2	41715089.3	43883700.2
104000000.0	42222635.6	41871567.0	44107956.2
105000000.0	42386235.4	42026142.7	44331146.3
106000000.0	42548039.2	42178849.8	44553282.2
107000000.0	42708077.5	42329720.9	44774374.8
108000000.0	42866380.3	42478788.1	44994433.8
109000000.0	43022976.9	42626082.6	45213468.2
110000000.0	43177896.0	42771634.9	45431486.1
111000000.0	43331165.3	42915474.9	45648494.6
112000000.0	43482812.3	43057631.8	45864500.2
113000000.0	43632863.5	43197659.8	46079508.4
