task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1207	81/4e8b8b	346894	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_TO_BED (H3K4_N_R4)	COMPLETED	0	2025-01-24 04:18:24.527	2s	38ms	0.0%	2.9 MB	3.9 MB	627.6 KB	358.1 KB
1176	95/035cda	234277	NFCORE_CUTANDRUN:CUTANDRUN:MACS2_CALLPEAK_IGG (H3K4_N_R2)	COMPLETED	0	2025-01-24 04:10:12.275	8m 16s	8m 13s	89.2%	1.8 GB	9.7 GB	7 GB	4.3 GB
1210	c3/f54477	347922	NFCORE_CUTANDRUN:CUTANDRUN:AWK_NAME_PEAK_BED (H3K4_N_R4)	COMPLETED	0	2025-01-24 04:18:27.532	2.6s	36ms	36.0%	2.9 MB	3.9 MB	461.3 KB	553.3 KB
1209	99/cf832e	347928	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:PRIMARY_PEAK_COUNTS (H3K4_N_R4)	COMPLETED	0	2025-01-24 04:18:27.556	2.7s	0ms	40.1%	3.1 MB	4.3 MB	825.1 KB	715.7 KB
1174	9f/43d12f	234684	NFCORE_CUTANDRUN:CUTANDRUN:MACS2_CALLPEAK_IGG (H3K4_N_R1)	COMPLETED	0	2025-01-24 04:10:12.796	8m 18s	8m 14s	88.8%	1.8 GB	9.7 GB	6.8 GB	4.3 GB
1211	a7/385857	348767	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_TO_BED (H3K4_N_R2)	COMPLETED	0	2025-01-24 04:18:29.267	2.9s	46ms	46.0%	2.8 MB	3.9 MB	1.5 MB	977 KB
1213	7f/5f471d	349336	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:CUT_CALC_REPROD (H3K4_N_R4)	COMPLETED	0	2025-01-24 04:18:30.235	2.5s	32ms	21.3%	2.8 MB	3.9 MB	644.2 KB	170.1 KB
1214	0f/dd0541	350330	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_TO_BED (H3K4_N_R1)	COMPLETED	0	2025-01-24 04:18:31.616	2.5s	36ms	19.3%	3 MB	3.9 MB	676 KB	390.4 KB
1217	0b/7edcee	350866	NFCORE_CUTANDRUN:CUTANDRUN:AWK_NAME_PEAK_BED (H3K4_N_R2)	COMPLETED	0	2025-01-24 04:18:32.757	2.1s	47ms	13.1%	2.9 MB	3.9 MB	1.1 MB	1.5 MB
1216	7c/8f996c	350873	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:PRIMARY_PEAK_COUNTS (H3K4_N_R2)	COMPLETED	0	2025-01-24 04:18:32.780	2.2s	0ms	45.4%	3.2 MB	4.3 MB	2 MB	1.9 MB
1218	61/02d270	352812	NFCORE_CUTANDRUN:CUTANDRUN:AWK_NAME_PEAK_BED (H3K4_N_R1)	COMPLETED	0	2025-01-24 04:18:34.938	3s	38ms	16.9%	2.8 MB	3.9 MB	493.6 KB	603.1 KB
1220	35/c25b37	352825	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:CUT_CALC_REPROD (H3K4_N_R2)	COMPLETED	0	2025-01-24 04:18:34.962	3.1s	55ms	27.6%	2.9 MB	3.9 MB	1.6 MB	455.2 KB
1219	e0/ac686f	352801	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:PRIMARY_PEAK_COUNTS (H3K4_N_R1)	COMPLETED	0	2025-01-24 04:18:34.917	3.1s	0ms	20.8%	3 MB	4.3 MB	889.7 KB	780.2 KB
1221	62/6cfbd3	355268	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:CUT_CALC_REPROD (H3K4_N_R1)	COMPLETED	0	2025-01-24 04:18:38.038	2.6s	34ms	19.7%	2.9 MB	3.9 MB	694 KB	185.3 KB
1179	7f/2df518	236001	NFCORE_CUTANDRUN:CUTANDRUN:MACS2_CALLPEAK_IGG (H3K27_N_R3)	COMPLETED	0	2025-01-24 04:10:14.037	8m 44s	8m 41s	89.3%	1.8 GB	9.8 GB	7.3 GB	4.4 GB
1177	91/2c2482	236072	NFCORE_CUTANDRUN:CUTANDRUN:MACS2_CALLPEAK_IGG (H3K27_N_R1)	COMPLETED	0	2025-01-24 04:10:14.064	8m 50s	8m 47s	90.0%	1.8 GB	9.8 GB	7.3 GB	4.4 GB
1181	79/847a89	245506	NFCORE_CUTANDRUN:CUTANDRUN:MACS2_CALLPEAK_IGG (H3K27_N_R4)	COMPLETED	0	2025-01-24 04:10:31.064	8m 34s	8m 31s	91.4%	1.8 GB	9.8 GB	7.2 GB	4.3 GB
1180	27/a0e737	245508	NFCORE_CUTANDRUN:CUTANDRUN:MACS2_CALLPEAK_IGG (H3K4_N_R3)	COMPLETED	0	2025-01-24 04:10:31.086	8m 34s	8m 32s	89.8%	1.7 GB	9.7 GB	6.9 GB	4.2 GB
